title,filename,series
01 Harry Potter,Harry-150x150.png,Harry Potter
02 Ron Weasley,Ron-150x150.png,Harry Potter
03 Hermione Granger,Hermione-150x150.png,Harry Potter
04 Albus Dumbledore,Dumbledoor-150x150.png,Harry Potter
05 Severus Snape,Snape-150x150.png,Harry Potter
06 Lord Voldemort,Voldemort-150x150.png,Harry Potter
07 Rubeus Hagrid 6,Hagrid-150x150.png,Harry Potter
08 Quidditch Harry Potter (HT),Screen-Shot-2015-06-22-at-12.57.54-PM-150x150.png,Harry Potter
09 Harry Potter with Sword of Gryffindor (HT),Screen-Shot-2015-06-22-at-3.30.00-PM-150x150.png,Harry Potter
10 TriWizard Harry Potter,triwizardharry-150x150.png,Harry Potter
11 Yule Ball Hermione Granger,yulehermione-150x150.png,Harry Potter
12 Yule Ball Ron Weasley,yuleron-150x150.png,Harry Potter
13 Draco Malfoy,draco-150x150.png,Harry Potter
14 Luna Lovegood,luna-150x150.png,Harry Potter
15 Albus Dumbledore With Wand,dumbledore-150x150.png,Harry Potter
16 Sirius Black,sirius-150x150.png,Harry Potter
17 Dobby,dobby-150x150.png,Harry Potter
18 Dementor,dementor-150x150.png,Harry Potter
19 Draco Malfoy w/ Broom (HT),HP1-150x150.jpg,Harry Potter
20 Cedric Diggory (HT),HP2-150x150.jpg,Harry Potter
21 Harry Potter with Sorting Hat (BN),HP3-150x150.jpg,Harry Potter
22 Neville Longbottom (BN Pre-Release),HP4-150x150.jpg,Harry Potter
01 Batman,01-Batman-150x150.jpg,DC
01 Batman (Metallic Chase),01-BatmanMetallicChase-150x150.jpg,DC
01 'Blue Retro'ù Batman (SDCC 2010),01-BatmanBlueColorway480-150x150.jpg,DC
01 Metallic 'Blue Retro'ù Batman (SDCC 2010),01-BatmanBlueMetallic480-150x150.jpg,DC
01 'Yellow Symbol Error'ù Batman,01-BatmanYellowCorrection-150x150.jpg,DC
01 'Yellow Error'ù (Metallic Chase) Batman,01-BatmanYellowErrorMetallic-150x150.jpg,DC
01 Flashpoint Batman (NYCC 2011),01-BatmanFlashPoint-150x150.jpg,DC
01 Bobblehead Batman (Target Exclusive),batmanbobble-150x150.jpg,DC
01Bobblehead Metallic Batman {CHASE} (Target Exclusive),bhbatchase-150x150.jpg,DC
01 'The New 52'ù Batman (Previews Exclusive),01-BatmanPreviewsExclusiveNew52-150x150.jpg,DC
01 Yellow Rainbow Batman (Ent Earth),75thbats-150x150.jpg,DC
01 Purple Rainbow Batman (Ent Earth),purple-150x150.jpg,DC
01 Orange Rainbow Batman (EE),orangeb-150x150.jpg,DC
01 Blue Rainbow Batman (EE),blue-150x150.jpg,DC
01 Pink Rainbow Batman (EE),pink-150x150.jpg,DC
01 Green Rainbow Batman (EE),green-150x150.jpg,DC
01 Silver Batman LE 108 *HT Employees*,batman108-150x150.jpg,DC
01 Retro Batman (Ent Earth),retrobatmanee-150x150.jpg,DC
01 'Michael Keaton'ù Batman,gamestopbatman-150x150.jpg,DC
01 GOLD 'Michael Keaton'ù Batman,goldbatman-150x150.jpg,DC
